,totalLatency,totalLatency
58,0.607682382,1.36601361
59,0.607607716,1.254882944
60,0.603605406,1.249310529
61,-0.395087701,1.441588879
62,0.607682382,1.358130813
63,0.607607716,1.26314131
0,0.606065609,2.819048738
1,0.6340355,3.675752676
2,0.648304856,3.151923513
3,0.648230191,3.150082874
4,0.606065609,3.125733089
5,-0.354465227,3.455605221
6,0.650081599,3.81696384
7,0.648230191,3.448892021
8,0.606065609,1.604459846
9,-0.354465227,1.926319158
10,0.610284546,1.865274906
11,0.648230191,1.807578564
12,0.603605406,1.479766071
13,0.631973639,2.355972326
14,0.646031732,1.783482742
15,0.607607716,1.657600307
16,0.603605406,1.245704961
17,0.632835465,1.629951978
18,0.648019738,1.942542958
19,0.607607716,1.49519012
20,0.603605406,1.296416306
21,0.632835465,1.710108626
22,0.646031732,1.710769641
23,0.607607716,1.592919683
24,0.603605406,1.356505477
25,0.632835465,1.791003478
26,0.646031732,1.731729805
27,0.607607716,1.60161587
0,0.606065609,1.702758253
1,0.6340355,2.814397418
2,0.610284546,1.920965266
3,0.648230191,1.848367894
4,0.606065609,1.782540929
5,0.6340355,2.640702224
6,0.610284546,2.012880695
7,0.648230191,1.964294398
8,0.606065609,12.53374758
9,0.6340355,13.30493929
10,0.648304856,12.88859061
11,0.648230191,12.87561116
12,0.606065609,2.381109118
13,0.6340355,3.232996285
14,0.648304856,2.690955532
15,0.648230191,2.679749763
16,0.606065609,2.108204019
17,0.597088279,2.399095547
18,0.650081599,2.675605404
19,0.648230191,2.313766873
20,0.606065609,1.991774046
21,0.597088279,2.305969369
22,0.650081599,2.56874938
23,0.648230191,2.205133152
24,0.606065609,1.377172244
25,0.597088279,1.627280426
26,0.610284546,1.523412466
27,0.648230191,1.541474843
28,0.606065609,1.365845025
29,0.597088279,1.603905642
30,0.610284546,1.505933475
31,0.648230191,1.50394634
32,0.606065609,1.774451709
33,0.597088279,2.102752757
34,0.648304856,2.002216601
35,0.648230191,1.978149879
36,0.606065609,2.716496181
37,0.597088279,3.031561792
38,0.648304856,2.954375792
39,0.648230191,2.936805391
40,0.606065609,1.447889519
41,0.597088279,1.706697416
42,0.648304856,1.724156785
43,0.648230191,1.683496702
44,0.606065609,1.428990138
45,-0.354465227,1.797528124
46,0.650081599,2.118144035
47,0.648230191,1.731503844
48,0.606065609,1.823261654
49,-0.354465227,2.157096899
50,0.650081599,2.507722735
51,0.648230191,2.142154789
52,0.606065609,1.456697857
53,-0.354465227,1.774858093
54,0.610284546,1.690980136
55,0.648230191,1.657143748
56,0.606065609,2.587104189
