,totalLatency,totalLatency
25,0.637977418,17.44312215
26,0.641257537,2.334169388
27,0.644862559,2.233078885
28,0.624781151,17.47978857
29,0.628061269,2.111431956
30,0.631666292,2.303464687
31,0.646071943,2.52111249
32,0.64684056,2.58047961
33,0.637977418,17.50174952
34,0.641257537,2.033870506
35,0.644862559,2.17881844
36,0.59965764,17.49860866
37,0.605744613,2.037677431
0,0.646292422,3.624062872
1,0.64422794,2.13252182
2,0.646367088,2.477560008
3,0.646292422,2.53320626
4,0.641257537,20.33240455
0,0.646292422,6.404782915
1,0.64422794,3.704409921
2,0.646367088,16.85007234
3,0.648133804,5.142626274
4,0.648902421,4.096262431
5,0.640205449,18.14383503
0,0.644302605,3.828380454
1,0.64422794,3.54739517
2,0.646367088,5.658789921
3,0.644302605,4.340308452
4,0.644862559,2.227081954
5,0.628061269,2.563412297
6,0.631666292,2.429413342
7,0.641257537,2.375791574
8,0.644862559,2.138744867
9,0.605744613,2.245399725
0,0.64422794,2.46374445
1,0.646367088,3.60943737
2,0.644302605,2.576181924
3,0.646292422,3.811279774
4,0.64422794,2.345294726
5,0.646367088,4.433674109
6,0.641257537,2.563801253
7,0.644862559,2.281339419
8,0.628061269,2.486312342
9,0.641257537,2.510437191
0,0.64422794,2.325333691
1,0.646367088,3.345641172
2,0.646292422,3.08724035
3,0.641257537,4.030774343
0,0.646292422,2.992643309
0,0.64422794,2.782307565
1,0.646367088,4.431388998
2,0.646292422,4.540585494
3,0.641257537,2.425307512
0,0.646292422,3.901803887
0,0.646292422,3.019232416
0,0.644302605,4.491788173
1,0.64422794,4.049600732
2,0.646367088,6.954682338
3,0.644302605,6.238877451
4,0.644862559,2.252396095
5,0.628061269,2.899640572
6,0.631666292,2.427853799
7,0.641257537,2.336590075
8,0.644862559,2.250773466
9,0.605744613,2.194206357
0,0.64422794,3.191215229
1,0.646367088,4.626544857
2,0.644302605,4.130372381
3,0.646292422,4.826964426
4,0.64422794,3.526269782
5,0.646367088,5.503851438
6,0.641257537,2.758004379
7,0.644862559,2.351543152
8,0.628061269,3.422833073
9,0.641257537,3.19290334
0,0.64422794,2.324757719
1,0.646367088,3.586714447
2,0.646292422,3.390790725
3,0.641257537,2.436885107
0,0.646292422,3.190790129
0,0.64422794,2.424011195
1,0.646367088,3.55374372
2,0.644302605,2.554654598
3,0.646292422,3.422212899
4,0.64422794,2.304211497
5,0.646367088,3.905828941
6,0.641257537,2.275134599
7,0.644862559,2.382253265
8,0.628061269,2.416706872
9,0.641257537,2.141127944
0,0.63079446,3.011822581
1,0.64684056,2.535451055
2,0.59965764,17.82516156
0,0.644302605,5.095398426
1,0.648902421,5.403053379
2,0.640280114,17.66033609
3,0.644862559,3.271481895
4,0.630025844,2.872754717
5,0.64684056,2.616287303
6,0.624781151,17.29955621
7,0.646071943,2.668061936
8,0.637977418,17.36797335
0,0.64422794,4.144513667
1,0.646367088,5.09383359
2,0.648902421,3.148857808
3,0.640280114,17.3291692
4,0.648133804,4.49990772
5,0.640205449,17.3516126
6,0.641257537,3.375163138
7,0.646071943,3.315370595
8,0.637977418,17.52941813
0,0.646292422,3.834026659
1,0.648133804,4.038871062
2,0.640205449,17.64978616
0,0.64422794,2.248639369
1,0.646367088,3.733244729
2,0.646292422,2.92101233
3,0.641257537,2.35842036
0,0.646292422,2.774617243
0,0.64422794,4.602579772
1,0.646367088,6.847335899
2,0.648902421,4.48175745
3,0.640280114,18.16620432
4,0.648133804,6.574862671
5,0.640205449,17.56335258
6,0.641257537,3.454387736
7,0.646071943,3.217419624
8,0.637977418,17.76044381
0,0.646292422,5.44119612
1,0.648133804,5.40137924
2,0.640205449,17.71054024
