,totalLatency,totalLatency
3,-0.001264511,5.531129611
4,-0.001264511,204.6567108
5,-0.001264511,157.9270749
6,-0.001264511,83.2494017
0,0.065259939,5.677110171
1,0.065259939,5.876325905
2,0.065259939,5.428053784
3,0.065259939,5.683322561
4,0.065259939,6.113609159
5,0.065259939,5.632518077
6,0.065259939,50.32514127
7,0.065259939,40.5893419
8,0.065259939,5.739317048
9,0.065259939,6.131258249
10,0.065259939,10.15002209
11,0.065259939,89.26009634
12,0.065259939,64.53338453
13,0.065259939,28.62889254
14,0.065259939,6.064331412
15,0.065259939,5.786838937
16,0.065259939,103.2554155
17,0.065259939,75.00029221
18,0.065259939,86.55116626
19,0.065259939,77.69949492
20,0.065259939,57.0771291
21,0.065259939,5.028921795
22,0.065259939,5.036633277
23,0.065259939,69.30845022
24,0.065259939,57.42480971
25,0.065259939,23.47465756
26,0.065259939,5.706158519
27,0.065259939,5.403433919
28,0.065259939,46.13559164
29,0.065259939,34.74626093
30,0.065259939,56.54063751
31,0.065259939,26.95688828
32,0.065259939,4.856673002
33,0.065259939,5.009918642
34,0.065259939,53.17314292
35,0.065259939,51.25597161
36,0.065259939,54.0680102
37,0.065259939,31.66627222
0,-0.006784454,93.65012627
1,-0.006784454,60.49715276
2,-0.006784454,63.58966511
3,-0.006784454,3.274412453
4,-0.006784454,10.45905299
0,-0.001940842,3.044897485
1,-0.001940842,3.061081326
2,-0.001940842,11.92866594
3,-0.001940842,3.110898519
4,-0.001940842,3.116177237
5,-0.001940842,3.115372121
0,-0.015198114,7.873709691
1,-0.015198114,7.934191537
2,-0.015198114,8.023477626
3,-0.015198114,7.89089427
4,-0.015198114,7.300730121
5,-0.015198114,7.491583252
6,-0.015198114,7.155531085
7,-0.015198114,7.42068491
8,-0.015198114,7.094520199
9,-0.015198114,7.388840342
0,-0.014385195,8.024914837
1,-0.014385195,8.289195597
2,-0.014385195,8.291906261
3,-0.014385195,8.481440806
4,-0.014385195,7.839499688
5,-0.014385195,8.504595172
6,-0.014385195,7.265790284
7,-0.014385195,8.723387241
8,-0.014385195,7.37955265
9,-0.014385195,6.978832674
0,-0.015198114,6.710175395
1,-0.015198114,6.894944835
2,-0.015198114,7.040842438
3,-0.015198114,5.834651136
0,-0.014385195,19.60271682
0,-0.011971475,3.703948653
1,-0.011971475,3.6623945
2,-0.011971475,3.461859596
3,-0.011971475,3.546028435
0,-0.011158555,18.28870251
0,-0.011971475,3.898657429
0,-0.004274305,50.72191947
1,-0.004274305,50.39729949
2,-0.004274305,50.01212415
3,-0.004274305,50.56910257
4,-0.004274305,50.07631377
5,-0.004274305,50.51565942
6,-0.004274305,50.68089281
7,-0.004274305,50.04128202
8,-0.004274305,50.11063317
9,-0.004274305,50.15262223
0,-0.003396585,50.22986541
1,-0.003396585,50.61725556
2,-0.003396585,50.44226817
3,-0.003396585,50.54640461
4,-0.003396585,50.53893068
5,-0.003396585,50.28443837
6,-0.003396585,50.34808034
7,-0.003396585,50.2392768
8,-0.003396585,50.25421054
9,-0.003396585,50.40933343
0,-0.003537802,50.07966219
1,-0.003537802,49.74155407
2,-0.003537802,50.23755122
3,-0.003537802,50.35504066
0,-0.002789608,51.3897683
0,-0.008488094,7.66871779
1,-0.008488094,7.425125241
2,-0.008488094,7.010640073
3,-0.008488094,14.44826916
4,-0.008488094,6.725581622
5,-0.008488094,7.013211954
6,-0.008488094,6.490709484
7,-0.008488094,6.616192114
8,-0.008488094,6.73464936
9,-0.008488094,6.731617296
0,-0.004274305,7.185703921
1,-0.004274305,7.33072077
2,-0.004274305,7.320282626
0,-0.003396585,7.768768704
1,-0.003396585,8.220847273
2,-0.003396585,7.880781913
3,-0.003396585,7.540815389
4,-0.003396585,7.416619837
5,-0.003396585,7.569482923
6,-0.003396585,7.373346221
7,-0.003396585,7.731234002
8,-0.003396585,7.26220547
0,-0.003537802,16.3444001
1,-0.003537802,6.854991841
2,-0.003537802,6.575084984
3,-0.003537802,6.822006261
4,-0.003537802,6.658850336
5,-0.003537802,6.448882079
6,-0.003537802,6.556072867
7,-0.003537802,6.494482923
8,-0.003537802,6.256869364
0,-0.002789608,7.009794903
1,-0.002789608,7.36495738
2,-0.002789608,7.238260233
0,-0.009301013,3.449438727
1,-0.009301013,3.479741728
2,-0.009301013,3.611045241
3,-0.009301013,3.254374433
0,-0.008488094,4.814738607
0,-0.004274305,3.546221912
1,-0.004274305,3.49918927
2,-0.004274305,3.441683674
3,-0.004274305,3.474275339
4,-0.004274305,3.512148476
5,-0.004274305,3.401124704
6,-0.004274305,3.410296381
7,-0.004274305,3.485070157
8,-0.004274305,3.639127862
0,-0.003396585,3.731155276
1,-0.003396585,3.738256323
2,-0.003396585,4.086430502
